repeat,fold,model,n_masked,auprc,auroc
3,2,drop gcs_total,7,0.5878911650637176,0.9273767605633803
3,2,drop fio2,7,0.38855665680814105,0.8813086854460094
3,2,drop glucose,7,0.5800425222772042,0.9289172535211268
3,2,post_discharge_realistic,22,0.3612837658341138,0.8664172535211268
3,2,wrist_only_channels,50,0.41342222401500733,0.8464642018779343
3,3,none (baseline),0,0.4071243250743178,0.802266081871345
3,3,drop hr,7,0.421251205942761,0.7790204678362573
3,3,drop rr,7,0.3695966871787249,0.7792397660818714
3,3,drop spo2,7,0.4211907582080882,0.7657163742690059
3,3,drop sbp,7,0.36476197128646154,0.7301900584795322
3,3,drop map,7,0.42993116904627415,0.7923245614035088
3,3,drop temp_c,7,0.38154992809928046,0.7707602339181286
3,3,drop gcs_total,7,0.3548451242374631,0.7695906432748538
3,3,drop fio2,7,0.3180256436883245,0.799342105263158
3,3,drop glucose,7,0.40109905304227805,0.7891081871345029
3,3,post_discharge_realistic,22,0.19016539019487302,0.7163011695906433
3,3,wrist_only_channels,50,0.09458146955634969,0.5521929824561403
3,4,none (baseline),0,0.5752625685234714,0.9189367311072056
3,4,drop hr,7,0.583842139517637,0.9223052138254247
3,4,drop rr,7,0.5644867651510566,0.8992384299941418
3,4,drop spo2,7,0.4818532398249247,0.7898359695371998
3,4,drop sbp,7,0.4689335950627075,0.872510251903925
3,4,drop map,7,0.6479973474828643,0.9488137082601055
3,4,drop temp_c,7,0.5710839170608293,0.9297012302284711
3,4,drop gcs_total,7,0.5393185434780129,0.9176918570591681
3,4,drop fio2,7,0.5018576336129359,0.8536174575278266
3,4,drop glucose,7,0.574389392879837,0.9094171060339777
3,4,post_discharge_realistic,22,0.4714403810211123,0.9009226713532513
3,4,wrist_only_channels,50,0.4273176668722209,0.8550087873462214
4,0,none (baseline),0,0.566548451926497,0.870148401826484
4,0,drop hr,7,0.5673023963896158,0.8528110730593608
4,0,drop rr,7,0.547248285867555,0.8500998858447489
4,0,drop spo2,7,0.5754968139305017,0.8717893835616438
4,0,drop sbp,7,0.5164267015123263,0.8755707762557078
4,0,drop map,7,0.5297699013179831,0.84724600456621
4,0,drop temp_c,7,0.5544142007961216,0.8134275114155252
4,0,drop gcs_total,7,0.5315171151156336,0.8509560502283104
4,0,drop fio2,7,0.4944009644209108,0.872574200913242
4,0,drop glucose,7,0.5678817922810777,0.8644406392694064
4,0,post_discharge_realistic,22,0.3806481028439972,0.8273401826484018
4,0,wrist_only_channels,50,0.2236081245187087,0.6495433789954338
4,1,none (baseline),0,0.589416029634015,0.9435579196217495
4,1,drop hr,7,0.6034863029187131,0.9562647754137116
4,1,drop rr,7,0.605770373049864,0.9436317966903074
4,1,drop spo2,7,0.5598305087836838,0.9454787234042553
4,1,drop sbp,7,0.5299303986575795,0.8873374704491725
4,1,drop map,7,0.6008104214121378,0.9498374704491725
4,1,drop temp_c,7,0.5896635165568321,0.9372044917257683
4,1,drop gcs_total,7,0.5584435735569735,0.9030732860520094
4,1,drop fio2,7,0.5313626904442016,0.9189568557919622
4,1,drop glucose,7,0.5972589455434737,0.9436317966903074
4,1,post_discharge_realistic,22,0.3876433125695289,0.8579343971631206
4,1,wrist_only_channels,50,0.3152844467253884,0.7386229314420805
4,2,none (baseline),0,0.4392957417868964,0.7049393414211439
4,2,drop hr,7,0.41222409944805605,0.6581455805892547
4,2,drop rr,7,0.44859948941580857,0.6271663778162913
4,2,drop spo2,7,0.4387360360726076,0.6398035817446562
4,2,drop sbp,7,0.44823913249974073,0.67078278451762
4,2,drop map,7,0.4416587436231268,0.7440785673021375
4,2,drop temp_c,7,0.35781964889264944,0.6877527440785673
4,2,drop gcs_total,7,0.36234144183294215,0.8165077989601387
4,2,drop fio2,7,0.30483125542194467,0.6878249566724436
4,2,drop glucose,7,0.44455832185158756,0.7001733102253033
4,2,post_discharge_realistic,22,0.17652060513049905,0.5516320046216061
4,2,wrist_only_channels,50,0.09847395222450858,0.4067735413056037
4,3,none (baseline),0,0.6560173868945358,0.8093345111896348
4,3,drop hr,7,0.6500853937443192,0.821849234393404
4,3,drop rr,7,0.6967469854922103,0.7684040047114252
4,3,drop spo2,7,0.6192346057526641,0.800206124852768
4,3,drop sbp,7,0.6282194106926506,0.7463928150765606
4,3,drop map,7,0.670961335218989,0.8015312131919905
4,3,drop temp_c,7,0.6144227836479395,0.7986601884570083
4,3,drop gcs_total,7,0.5346956713365592,0.8957597173144877
4,3,drop fio2,7,0.5518158201329655,0.8029299175500589
4,3,drop glucose,7,0.6582329166455413,0.7854829210836278
4,3,post_discharge_realistic,22,0.28766542342599566,0.8087455830388692
4,3,wrist_only_channels,50,0.31602483484639426,0.6082891637220259
4,4,none (baseline),0,0.36710292396770805,0.8089788732394366
4,4,drop hr,7,0.37798036264630575,0.8546801643192488
4,4,drop rr,7,0.3713266135579995,0.7909330985915494
4,4,drop spo2,7,0.31448255544541337,0.7452318075117371
4,4,drop sbp,7,0.3108034409083098,0.7947476525821596
4,4,drop map,7,0.41549532877352535,0.8714788732394366
4,4,drop temp_c,7,0.3611682899327851,0.8477846244131455
4,4,drop gcs_total,7,0.3882753746335915,0.8324530516431925
4,4,drop fio2,7,0.34083515613617144,0.7596097417840376
4,4,drop glucose,7,0.3952813909109859,0.830619131455399
4,4,post_discharge_realistic,22,0.29681730698349434,0.7952611502347419
4,4,wrist_only_channels,50,0.2645465909772353,0.8530296361502347
5,0,none (baseline),0,0.44264136461945863,0.7407407407407407
5,0,drop hr,7,0.4662348422226834,0.7008101851851852
5,0,drop rr,7,0.42026157777373446,0.6854021990740741
